chrom,distance,mean_density,sd_density,n_datasets,se_density
ChrI,0,0.06328477098836596,0.02409353441026627,35,0.004072550623656891
ChrI,1,0.06438528456136669,0.023414043410500053,35,0.003957695681756461
ChrI,2,0.06283408447751804,0.021409479727238896,35,0.003618862576599975
ChrI,3,0.06590504140027247,0.023066204778484364,35,0.00389890022179506
ChrI,4,0.062299549313489105,0.02133297644350946,35,0.003605931161451047
ChrI,5,0.06718373336128285,0.02371315684176713,35,0.0040082550795728245
ChrI,6,0.06444817105125245,0.02379540530230467,35,0.004022157606846459
ChrI,7,0.06320092233518494,0.022517210218206022,35,0.0038061032041066495
ChrI,8,0.06645005764594901,0.023393880169551472,35,0.003954287471981099
ChrI,9,0.06759249554554025,0.024127510481313723,35,0.0040782936278578345
ChrI,10,0.06419662509170941,0.0230366821247038,35,0.0038939099825043557
ChrI,11,0.06668064144219679,0.023688766032106193,35,0.004004132280260582
ChrI,12,0.0651189602767005,0.02268215013565468,35,0.0038339831387079106
ChrI,13,0.06658631170736816,0.02339138090161781,35,0.003953865018595531
ChrI,14,0.06344198721308034,0.023212792049988686,35,0.003923677993035245
ChrI,15,0.06702651713656846,0.02482354794375675,35,0.004195945432424668
ChrI,16,0.06542291164448166,0.022574154299591358,35,0.0038157285106395346
ChrI,17,0.06651294413583479,0.023892842796939012,35,0.0040386275494785195
ChrI,18,0.06375641966250913,0.02201095477482897,35,0.0037205304157167324
ChrI,19,0.06756105230059739,0.02378371165311341,35,0.004020181019373
ChrI,20,0.06961534430353208,0.02513387958076,35,0.0042484010531027
ChrI,21,0.06965726863012257,0.02505101946566515,35,0.004234395137338758
ChrI,22,0.067571533382245,0.023539209983750937,35,0.003978852694143016
ChrI,23,0.06929043077245567,0.024001595531178765,35,0.004057010116689737
ChrI,24,0.06593648464521536,0.022581236547666177,35,0.0038169256290582296
ChrI,25,0.07195262551095269,0.02516772278131179,35,0.004254121598090695
ChrI,26,0.06900744156796976,0.023571970170275305,35,0.00398439017634837
ChrI,27,0.07273870663452464,0.0261491589007903,35,0.004420014580514996
ChrI,28,0.06973063620165597,0.025771328439904578,35,0.004356149576198275
ChrI,29,0.07382873912587776,0.025231521986176054,35,0.004264905631978561
ChrI,30,0.07148097683680951,0.023853114369923236,35,0.004031912219653308
ChrI,31,0.0754952311078503,0.028274357455089785,35,0.004779238700576817
ChrI,32,0.06953149565035106,0.025298571100633816,35,0.004276239000850512
ChrI,33,0.07426894455507804,0.0271177511668718,35,0.004583736555470179
ChrI,34,0.07348286343150609,0.025848524622172724,35,0.00436919811257682
ChrI,35,0.0755790797610313,0.028408379916642742,35,0.004801892631298951
ChrI,36,0.07361911749292523,0.02793764819523659,35,0.0047223244478625335
ChrI,37,0.07661336828309301,0.02662021451129543,35,0.004499637511201426
ChrI,38,0.0761520314547837,0.028339793472007255,35,0.0047902994061988745
ChrI,39,0.07684403669724765,0.0279626965074164,35,0.00472655838538504
ChrI,40,0.07320576671035382,0.02800221253065041,35,0.004733237812418275
ChrI,41,0.0803250327653997,0.029544303885610645,35,0.004993898826383216
ChrI,42,0.07413892529488854,0.026681653789625198,35,0.004510022644698997
ChrI,43,0.07690694626474438,0.028517561197390823,35,0.004820347636091141
ChrI,44,0.0787522935779816,0.028111173871201444,35,0.004751655640531801
ChrI,45,0.08027260812581909,0.02925025402705326,35,0.0049441953285707975
ChrI,46,0.08102752293577976,0.02953183707242705,35,0.004991791550342212
ChrI,47,0.08457142857142852,0.02996027020894796,35,0.005064209967981678
ChrI,48,0.08001048492791607,0.029320333044456342,35,0.004956040844515879
ChrI,49,0.08509567496723455,0.029386625273407033,35,0.004967246276386502
ChrI,50,0.08283093053735252,0.029259085451079983,35,0.004945688111689097
ChrI,51,0.08825163826998685,0.03196682202319501,35,0.005403379128610501
ChrI,52,0.08474967234600257,0.03101437163432348,35,0.005242385628895981
ChrI,53,0.08905897771952814,0.032528796922704474,35,0.005498370224084712
ChrI,54,0.08595543905635646,0.03179795378167767,35,0.005374835186049121
ChrI,55,0.08928964613368279,0.03136156567219847,35,0.005301072132561265
ChrI,56,0.08743381389252945,0.0322294096886059,35,0.00544776454514275
ChrI,57,0.09105111402359103,0.03218112829166206,35,0.005439603499532485
ChrI,58,0.08852424639580597,0.033012779069735,35,0.005580178138239811
ChrI,59,0.09094626474442982,0.033737466035257443,35,0.005702672592691329
ChrI,60,0.09322149410222802,0.033196006750539256,35,0.005611149269042962
ChrI,61,0.09267627785058974,0.03470573980291476,35,0.005866340731586848
ChrI,62,0.09069462647444296,0.03305343384369865,35,0.005587050049277892
ChrI,63,0.09447968545216247,0.03476127500929811,35,0.0058757278947792705
ChrI,64,0.09494609164420481,0.03548283783887313,35,0.005997694273873125
ChrI,65,0.09520987056973505,0.03457143959473987,35,0.0058436398531168604
