distance,density
339,0.23809523809523808
338,0.22727272727272727
337,0.13636363636363635
336,0.13636363636363635
335,0.3181818181818182
334,0.3181818181818182
333,0.2727272727272727
332,0.3181818181818182
331,0.36363636363636365
330,0.2727272727272727
329,0.22727272727272727
328,0.18181818181818182
327,0.2727272727272727
326,0.22727272727272727
325,0.4090909090909091
324,0.13636363636363635
323,0.2727272727272727
322,0.34782608695652173
321,0.25
320,0.3333333333333333
319,0.19230769230769232
318,0.2962962962962963
317,0.25
316,0.21428571428571427
315,0.21428571428571427
314,0.2857142857142857
313,0.25
312,0.35714285714285715
311,0.10714285714285714
310,0.2857142857142857
309,0.35714285714285715
308,0.21428571428571427
307,0.23333333333333334
306,0.1
305,0.2
304,0.23333333333333334
303,0.16666666666666666
302,0.3333333333333333
301,0.13333333333333333
300,0.16666666666666666
299,0.3
298,0.26666666666666666
297,0.22580645161290322
296,0.25
295,0.09375
294,0.25
293,0.3125
292,0.25
291,0.3125
290,0.15625
289,0.28125
288,0.28125
287,0.28125
286,0.21875
285,0.3125
284,0.25
283,0.3235294117647059
282,0.2647058823529412
281,0.29411764705882354
280,0.20588235294117646
279,0.35294117647058826
278,0.17142857142857143
277,0.2894736842105263
276,0.2631578947368421
275,0.3157894736842105
274,0.18421052631578946
273,0.39473684210526316
272,0.18421052631578946
271,0.23684210526315788
270,0.18421052631578946
269,0.175
268,0.175
267,0.175
266,0.3
265,0.3170731707317073
264,0.18604651162790697
263,0.2391304347826087
262,0.2391304347826087
261,0.17391304347826086
260,0.10869565217391304
259,0.22916666666666666
258,0.22916666666666666
257,0.24489795918367346
256,0.24
255,0.21568627450980393
254,0.32075471698113206
253,0.16666666666666666
252,0.23636363636363636
251,0.19642857142857142
250,0.17857142857142858
249,0.2413793103448276
248,0.16666666666666666
247,0.21311475409836064
246,0.2903225806451613
245,0.12903225806451613
244,0.2
243,0.14705882352941177
242,0.20588235294117646
241,0.2608695652173913
240,0.18571428571428572
239,0.17142857142857143
238,0.2
237,0.11267605633802817
236,0.2222222222222222
235,0.2222222222222222
234,0.16666666666666666
233,0.1527777777777778
232,0.2361111111111111
231,0.2916666666666667
230,0.2222222222222222
229,0.20833333333333334
228,0.25
227,0.21621621621621623
226,0.12162162162162163
225,0.21333333333333335
224,0.27631578947368424
223,0.15584415584415584
222,0.1794871794871795
221,0.20512820512820512
220,0.20253164556962025
219,0.125
218,0.1625
217,0.20481927710843373
216,0.16470588235294117
215,0.18604651162790697
214,0.1724137931034483
213,0.22727272727272727
212,0.14772727272727273
211,0.125
210,0.25842696629213485
209,0.16304347826086957
208,0.15053763440860216
207,0.19148936170212766
206,0.19148936170212766
205,0.10416666666666667
204,0.22916666666666666
203,0.17708333333333334
202,0.16161616161616163
201,0.21
200,0.27
199,0.18
198,0.21568627450980393
197,0.16037735849056603
196,0.2169811320754717
195,0.1320754716981132
194,0.19811320754716982
193,0.08333333333333333
192,0.21296296296296297
191,0.17592592592592593
190,0.15178571428571427
189,0.15178571428571427
188,0.21238938053097345
187,0.16379310344827586
186,0.1810344827586207
185,0.1557377049180328
184,0.203125
183,0.15151515151515152
182,0.12878787878787878
181,0.15789473684210525
180,0.11940298507462686
179,0.11194029850746269
178,0.17647058823529413
177,0.11347517730496454
176,0.2054794520547945
175,0.13071895424836602
174,0.10191082802547771
173,0.125
172,0.1728395061728395
171,0.15853658536585366
170,0.16666666666666666
169,0.12571428571428572
168,0.15469613259668508
167,0.14207650273224043
166,0.13043478260869565
165,0.13513513513513514
164,0.15816326530612246
163,0.09547738693467336
162,0.16336633663366337
161,0.1796116504854369
160,0.14423076923076922
159,0.15165876777251186
158,0.125
157,0.13636363636363635
156,0.15584415584415584
155,0.16597510373443983
154,0.16929133858267717
153,0.18532818532818532
152,0.1482889733840304
151,0.14814814814814814
150,0.13357400722021662
149,0.14736842105263157
148,0.16040955631399317
147,0.14950166112956811
146,0.11612903225806452
145,0.1829652996845426
144,0.1620795107033639
143,0.1588235294117647
142,0.18518518518518517
141,0.1837837837837838
140,0.16886543535620052
139,0.17692307692307693
138,0.14713216957605985
137,0.17422434367541767
136,0.1461187214611872
135,0.1511879049676026
134,0.1732776617954071
133,0.1656686626746507
132,0.16314779270633398
131,0.14051094890510948
130,0.193717277486911
129,0.16275167785234898
128,0.17609046849757673
127,0.1619496855345912
126,0.1536144578313253
125,0.16569767441860464
124,0.17114568599717114
123,0.1664392905866303
122,0.16380449141347425
121,0.13810741687979539
120,0.1588089330024814
119,0.1519903498190591
118,0.16510538641686182
117,0.15548098434004473
116,0.1657638136511376
115,0.17481789802289283
114,0.14678899082568808
113,0.16981132075471697
112,0.15682478218780252
111,0.16447368421052633
110,0.16050495942290352
109,0.13969938107869143
108,0.14716006884681584
107,0.14971050454921422
106,0.1393312101910828
105,0.16124031007751938
104,0.1355805243445693
103,0.1409058231488138
102,0.1275121275121275
101,0.13218770654329148
100,0.13442211055276382
99,0.12858851674641147
98,0.13599537037037038
97,0.13252346769740475
96,0.11894736842105263
95,0.13228035538005922
94,0.13088512241054615
93,0.11370786516853933
92,0.12918254976704785
91,0.11498810467882632
90,0.11477230655312846
89,0.10573913043478261
88,0.10844561288202431
87,0.1226124460874923
86,0.10186757215619695
85,0.11113982941328508
84,0.10611246943765282
83,0.1139594500116523
82,0.09561930175672671
81,0.09899749373433583
80,0.0824642719196601
79,0.09229651162790697
78,0.0917815389984296
77,0.08892645815722738
76,0.08592858307516713
75,0.09428971526373113
74,0.08887896382313533
73,0.08556851311953352
72,0.08996986655187258
71,0.08640246464080661
70,0.07795039520305261
69,0.07699517943224424
68,0.07460129168314222
67,0.07359645694932916
66,0.0750256937307297
65,0.07891741494877956
64,0.07874015748031496
63,0.08129879786838518
62,0.07612031921424187
61,0.079436414429734
60,0.07449237053946894
59,0.07150505651397977
58,0.07303834808259586
57,0.0635013448719448
56,0.07707464070468242
55,0.07366609294320138
54,0.0740236148955495
53,0.07497741644083107
52,0.07249322493224933
51,0.07452574525745258
50,0.07170280036133694
49,0.06684733514001806
48,0.06594399277326106
47,0.06605691056910569
46,0.06628274616079494
45,0.06526648599819332
44,0.06605691056910569
43,0.06933152664859982
42,0.06549232158988257
41,0.06402439024390244
40,0.062104787714543815
39,0.06447606142728093
38,0.05668473351400181
37,0.056458897922312554
36,0.05668473351400181
35,0.05928184281842819
34,0.05386178861788618
33,0.06018518518518518
32,0.06007226738934056
31,0.05770099367660343
30,0.057023486901535685
29,0.05894308943089431
28,0.059056007226738934
27,0.04968383017163505
26,0.05250677506775068
25,0.05160343270099368
24,0.05679765130984643
23,0.05589430894308943
22,0.057362240289069555
21,0.05499096657633243
20,0.05883017163504969
19,0.052732610659439925
18,0.05623306233062331
17,0.05668473351400181
16,0.05521680216802168
15,0.0535230352303523
14,0.056571815718157184
13,0.05363595302619693
12,0.05295844625112918
11,0.053974706413730804
10,0.05939476061427281
9,0.05510388437217705
8,0.05510388437217705
7,0.05408762420957543
6,0.05453929539295393
5,0.053974706413730804
4,0.0485546522131888
3,0.058378500451671186
2,0.05453929539295393
1,0.05679765130984643
0,0.05849141824751581
340,0.2631578947368421
341,0.35294117647058826
342,0.4117647058823529
343,0.058823529411764705
344,0.11764705882352941
345,0.23529411764705882
346,0.4117647058823529
347,0.29411764705882354
348,0.23529411764705882
349,0.5294117647058824
350,0.3333333333333333
351,0.26666666666666666
