                 Generalized Linear Model Regression Results                  
==============================================================================
Dep. Variable:                  Value   No. Observations:                51391
Model:                         GLMGam   Df Residuals:                 51371.64
Model Family:        NegativeBinomial   Df Model:                        18.36
Link Function:                    Log   Scale:                          1.0000
Method:                         PIRLS   Log-Likelihood:            -2.4446e+05
Date:                Mon, 06 Oct 2025   Deviance:                   1.2804e+05
Time:                        13:48:20   Pearson chi2:                 2.16e+06
No. Iterations:                    16   Pseudo R-squ. (CS):             0.1196
Covariance Type:            nonrobust                                         
==========================================================================================
                             coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
Intercept                  4.8457      0.050     96.671      0.000       4.747       4.944
Nucleosome_Distance_s0    -0.8020      0.071    -11.300      0.000      -0.941      -0.663
Nucleosome_Distance_s1    -0.0837      0.045     -1.855      0.064      -0.172       0.005
Nucleosome_Distance_s2    -0.7598      0.053    -14.472      0.000      -0.863      -0.657
Nucleosome_Distance_s3    -0.2243      0.043     -5.210      0.000      -0.309      -0.140
Nucleosome_Distance_s4    -0.5734      0.044    -13.176      0.000      -0.659      -0.488
Nucleosome_Distance_s5     0.1869      0.042      4.478      0.000       0.105       0.269
Nucleosome_Distance_s6    -0.3128      0.095     -3.307      0.001      -0.498      -0.127
Nucleosome_Distance_s7     2.1669      0.209     10.344      0.000       1.756       2.578
Nucleosome_Distance_s8    -0.0983      0.267     -0.368      0.713      -0.622       0.426
Centromere_Distance_s0    -0.9653      0.059    -16.487      0.000      -1.080      -0.851
Centromere_Distance_s1    -0.8151      0.039    -20.988      0.000      -0.891      -0.739
Centromere_Distance_s2    -0.6495      0.047    -13.946      0.000      -0.741      -0.558
Centromere_Distance_s3    -0.7675      0.041    -18.659      0.000      -0.848      -0.687
Centromere_Distance_s4    -1.0438      0.042    -24.565      0.000      -1.127      -0.960
Centromere_Distance_s5    -1.1303      0.045    -25.345      0.000      -1.218      -1.043
Centromere_Distance_s6    -1.0421      0.054    -19.448      0.000      -1.147      -0.937
Centromere_Distance_s7    -0.2467      0.053     -4.654      0.000      -0.351      -0.143
Centromere_Distance_s8    -1.1297      0.043    -26.489      0.000      -1.213      -1.046
==========================================================================================
