distance,mean_nonzero,std_nonzero,count_nonzero
0,9.393103448275863,12.322234055043738,145.0
1,8.90033222591362,11.367645603022849,301.0
2,8.768953068592058,12.442507348495107,277.0
3,8.110032362459547,10.164596519367931,309.0
4,7.644787644787645,9.894270611980577,259.0
5,8.426470588235293,10.882893820266316,272.0
6,9.705673758865249,12.869253673536337,282.0
7,9.035087719298245,11.992610565631566,285.0
8,8.880597014925373,12.836070884312969,268.0
9,9.121621621621621,11.869576780772325,296.0
10,9.14074074074074,11.732560712048443,270.0
11,9.300341296928327,11.829781602372456,293.0
12,9.083333333333334,12.998708135089506,264.0
13,9.762773722627736,12.802183349155232,274.0
14,8.262773722627736,11.057472286973296,274.0
15,9.065972222222221,12.065117532473378,288.0
16,9.450704225352112,13.02733058836299,284.0
17,8.376760563380282,10.504699708736851,284.0
18,8.789830508474576,11.663503384303734,295.0
19,9.019108280254777,12.571315458822705,314.0
20,8.93558282208589,11.617181869212093,326.0
21,8.150159744408946,11.094862303142026,313.0
22,9.070469798657719,12.033555796123247,298.0
23,9.799331103678929,11.344803361427886,299.0
24,8.375,11.651925715578344,296.0
25,8.67524115755627,11.453721659836607,311.0
26,9.042207792207792,11.355730275657729,308.0
27,8.506410256410257,11.21608674464061,312.0
28,10.038585209003216,12.371081911834908,311.0
29,8.95221843003413,11.415162210012268,293.0
30,8.557755775577558,11.61592012045506,303.0
31,10.627986348122867,13.60026824271439,293.0
32,8.152542372881356,10.832700493272206,295.0
33,9.50344827586207,12.40332812683285,290.0
34,9.444794952681388,11.792816402701373,317.0
35,9.735119047619047,12.678507562628818,336.0
36,9.26912181303116,11.405171453087581,353.0
37,9.226993865030675,11.71050842409207,326.0
38,10.15339233038348,12.694874285813306,339.0
39,8.974285714285715,11.416166159217683,350.0
40,10.279411764705882,12.47776262496346,340.0
41,8.554285714285715,11.056570939927624,350.0
42,9.962382445141065,12.592244367287226,319.0
43,9.17357512953368,11.410563625438714,386.0
44,9.468253968253968,12.011943553177348,378.0
45,10.069333333333333,12.06756794380837,375.0
46,11.743243243243244,14.082856643504023,370.0
47,9.846153846153847,11.635085069850218,377.0
48,10.963680387409202,13.63786626018196,413.0
49,9.970074812967582,12.32432968742677,401.0
50,10.02061855670103,12.361463316573534,388.0
51,9.832904884318767,12.463155887825069,389.0
52,9.591549295774648,11.755442251791777,426.0
53,11.37793427230047,12.964943917408673,426.0
54,9.720987654320988,11.878455370645685,405.0
55,10.412776412776413,12.495383735057471,407.0
56,9.147982062780269,11.27274063003479,446.0
57,10.781818181818181,12.236564988887716,385.0
58,10.407035175879397,12.18456515282737,398.0
59,9.885333333333334,12.550440405308546,375.0
60,10.643765903307887,12.55519723534953,393.0
61,10.232098765432099,11.913070315693467,405.0
62,11.20094562647754,13.169863596884497,423.0
63,11.31958762886598,13.463547410450131,388.0
64,10.73671497584541,12.22115638041248,414.0
65,10.921787709497206,13.035161461606709,358.0
66,10.927536231884059,12.869039191100246,414.0
67,11.37468982630273,13.17188527818484,403.0
68,11.851063829787234,13.80199594981036,376.0
69,11.763414634146342,13.687398164273759,410.0
70,10.962962962962964,13.091544792105992,378.0
71,11.695,13.85702051466546,400.0
72,11.329081632653061,12.227860987134457,392.0
73,10.984496124031008,13.651463412675852,387.0
74,11.274406332453825,13.573186076537803,379.0
75,10.917112299465241,12.24640128584079,374.0
76,11.88150289017341,13.910702960857485,346.0
77,12.660377358490566,14.412941165607778,318.0
78,11.221884498480243,12.901928674078494,329.0
79,11.518518518518519,13.472697869814231,324.0
80,11.477508650519031,12.78563970478268,289.0
81,11.183006535947712,13.569946498799647,306.0
82,12.250871080139373,13.751279315212813,287.0
83,12.85171102661597,13.662119124411507,263.0
84,12.169117647058824,14.099307850933918,272.0
85,11.803030303030303,12.914129611942851,264.0
86,13.253676470588236,13.962455763064494,272.0
87,13.272727272727273,14.804608125572399,220.0
88,11.525641025641026,12.517857828270051,234.0
89,12.77720207253886,13.519935066935876,193.0
90,12.452261306532664,13.707495642160858,199.0
91,14.929824561403509,15.376291508594504,171.0
92,12.467105263157896,12.953261760672556,152.0
93,12.970238095238095,15.178153854602645,168.0
