Device: cuda

Clipping outliers using 95th percentile * 1.5...
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)
Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrVIII', 'ChrX', 'ChrXI', 'ChrXII', 'ChrXIII', 'ChrXIV', 'ChrXVI']
Validation chromosomes: []
Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXV']
Standardizing features: ['Nucl', 'Centr']
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 58816
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Column order in final array (Dataset/Chrom split): ['Value', 'Nucleosome_Distance', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 17040

Dataset sizes after preprocessing:
  Train: 58816
  Val: 0
  Test: 17040
  Eval strategy: TEST

Randomly sampled 47052/58816 samples (80.0%)
Applied denoising with 15.0% masking

Creating test dataloader:
  Test set size: 17040
  Batch size: 64
Applied denoising with 15.0% masking
  Dataloader created: 17040 samples, 267 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/101], Total Loss: 519.3715, NLL: 1.7809, Masked: 15828.4580
Epoch [2/101], Total Loss: 1.7264, NLL: 1.6365, Masked: 2.7498
Epoch [3/101], Total Loss: 1.6972, NLL: 1.6115, Masked: 2.6195
Epoch [4/101], Total Loss: 1.6841, NLL: 1.6013, Masked: 2.5326
Epoch [5/101], Total Loss: 1.6781, NLL: 1.5962, Masked: 2.5044
Epoch [6/101], Total Loss: 1.6757, NLL: 1.5918, Masked: 2.5651
Epoch [7/101], Total Loss: 1.6679, NLL: 1.5878, Masked: 2.4486
Epoch [8/101], Total Loss: 1.6634, NLL: 1.5837, Masked: 2.4391
Epoch [9/101], Total Loss: 1.6580, NLL: 1.5797, Masked: 2.3942
Epoch [10/101], Total Loss: 1.6537, NLL: 1.5762, Masked: 2.3715
Epoch [11/101], Total Loss: 1.6504, NLL: 1.5732, Masked: 2.3611
Epoch [12/101], Total Loss: 1.6451, NLL: 1.5683, Masked: 2.3479
Epoch [13/101], Total Loss: 1.6385, NLL: 1.5624, Masked: 2.3264
Epoch [14/101], Total Loss: 1.6290, NLL: 1.5541, Masked: 2.2918
Epoch [15/101], Total Loss: 1.6238, NLL: 1.5494, Masked: 2.2751
Epoch [16/101], Total Loss: 1.6197, NLL: 1.5456, Masked: 2.2662
Epoch [17/101], Total Loss: 1.6145, NLL: 1.5411, Masked: 2.2461
Epoch [18/101], Total Loss: 1.6122, NLL: 1.5385, Masked: 2.2524
Epoch [19/101], Total Loss: 1.6069, NLL: 1.5344, Masked: 2.2157
Epoch [20/101], Total Loss: 1.6064, NLL: 1.5339, Masked: 2.2144
Epoch [21/101], Total Loss: 1.6028, NLL: 1.5306, Masked: 2.2084
Epoch [22/101], Total Loss: 1.5988, NLL: 1.5272, Masked: 2.1886
Epoch [23/101], Total Loss: 1.5970, NLL: 1.5257, Masked: 2.1817
Epoch [24/101], Total Loss: 1.5949, NLL: 1.5237, Masked: 2.1795
