Device: cuda

Preprocessing with chromosome split:
  Train chromosomes: ['ChrIII', 'ChrIV', 'ChrIX', 'ChrVI', 'ChrVII', 'ChrX', 'ChrXI', 'ChrXIII', 'ChrXVI']
  Val chromosomes: None
  Test chromosomes: ['ChrI', 'ChrII', 'ChrV', 'ChrXII']

Clipping outliers using 95th percentile * 1.5...
strain_yTW001: Clipping values above 134.25 (P95=89.50). Clipped 27529/1193409 values (2.31%)
strain_FD: Clipping values above 71.92 (P95=47.94). Clipped 95791/4127807 values (2.32%)
strain_dnrp: Clipping values above 243.00 (P95=162.00). Clipped 25649/1119454 values (2.29%)
strain_yEK19: Clipping values above 77.10 (P95=51.40). Clipped 83713/3893623 values (2.15%)
strain_yEK23: Clipping values above 72.00 (P95=48.00). Clipped 86381/3558407 values (2.43%)
strain_yWT03a: Clipping values above 15.00 (P95=10.00). Clipped 10602/347679 values (3.05%)
strain_yWT04a: Clipping values above 58.50 (P95=39.00). Clipped 21095/725406 values (2.91%)
strain_ylic137: Clipping values above 142.50 (P95=95.00). Clipped 28746/1112684 values (2.58%)

Splitting data using pre-determined chromosomes...
Standardizing features: ['Centr']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 61992
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Column order in final array (Dataset/Chrom split): ['Value', 'Centromere_Distance', 'Value_Raw', 'Size_Factor']
Removing 0 empty data points out of 24128

Dataset sizes after preprocessing:
  Train: 61992
  Val: 0
  Test: 24128
  Eval strategy: TEST

Randomly sampled 58272/61992 samples (94.0%)
Applied denoising with 15.0% masking

Creating test dataloader:
  Test set size: 24128
  Batch size: 128
Applied denoising with 15.0% masking
  Dataloader created: 24128 samples, 189 batches
Number of encoder layers: 1
Number of decoder layers (excluding heads): 1
Total number of layers including latent layer: 3
Epoch [1/141], Total Loss: 2.0783, NLL: 2.0363, Masked: 4.8331
Epoch [2/141], Total Loss: 1.8006, NLL: 1.7746, Masked: 2.9874
Epoch [3/141], Total Loss: 1.6901, NLL: 1.6667, Masked: 2.6855
Epoch [4/141], Total Loss: 1.6693, NLL: 1.6466, Masked: 2.6099
Epoch [5/141], Total Loss: 1.6462, NLL: 1.6242, Masked: 2.5203
Epoch [6/141], Total Loss: 1.6355, NLL: 1.6140, Masked: 2.4689
Epoch [7/141], Total Loss: 1.6226, NLL: 1.6017, Masked: 2.3982
Epoch [8/141], Total Loss: 1.6115, NLL: 1.5912, Masked: 2.3342
Epoch [9/141], Total Loss: 1.5992, NLL: 1.5795, Masked: 2.2608
Epoch [10/141], Total Loss: 1.5869, NLL: 1.5678, Masked: 2.1958
Epoch [11/141], Total Loss: 1.5741, NLL: 1.5555, Masked: 2.1411
Epoch [12/141], Total Loss: 1.5612, NLL: 1.5431, Masked: 2.0847
Epoch [13/141], Total Loss: 1.5519, NLL: 1.5341, Masked: 2.0455
Epoch [14/141], Total Loss: 1.5438, NLL: 1.5263, Masked: 2.0102
Epoch [15/141], Total Loss: 1.5358, NLL: 1.5187, Masked: 1.9721
Epoch [16/141], Total Loss: 1.5299, NLL: 1.5130, Masked: 1.9491
Epoch [17/141], Total Loss: 1.5237, NLL: 1.5070, Masked: 1.9197
Epoch [18/141], Total Loss: 1.5179, NLL: 1.5015, Masked: 1.8952
Epoch [19/141], Total Loss: 1.5137, NLL: 1.4973, Masked: 1.8766
Epoch [20/141], Total Loss: 1.5090, NLL: 1.4928, Masked: 1.8579
Epoch [21/141], Total Loss: 1.5044, NLL: 1.4884, Masked: 1.8396
Epoch [22/141], Total Loss: 1.5003, NLL: 1.4845, Masked: 1.8224
Epoch [23/141], Total Loss: 1.4972, NLL: 1.4814, Masked: 1.8104
Epoch [24/141], Total Loss: 1.4936, NLL: 1.4779, Masked: 1.7970
Epoch [25/141], Total Loss: 1.4909, NLL: 1.4753, Masked: 1.7891
Epoch [26/141], Total Loss: 1.4873, NLL: 1.4718, Masked: 1.7756
Epoch [27/141], Total Loss: 1.4843, NLL: 1.4690, Masked: 1.7643
Epoch [28/141], Total Loss: 1.4817, NLL: 1.4664, Masked: 1.7574
Epoch [29/141], Total Loss: 1.4784, NLL: 1.4633, Masked: 1.7447
Epoch [30/141], Total Loss: 1.4761, NLL: 1.4610, Masked: 1.7360
Epoch [31/141], Total Loss: 1.4733, NLL: 1.4583, Masked: 1.7271
Epoch [32/141], Total Loss: 1.4705, NLL: 1.4555, Masked: 1.7176
Epoch [33/141], Total Loss: 1.4669, NLL: 1.4520, Masked: 1.7044
Epoch [34/141], Total Loss: 1.4647, NLL: 1.4500, Masked: 1.6981
Epoch [35/141], Total Loss: 1.4612, NLL: 1.4465, Masked: 1.6864
Epoch [36/141], Total Loss: 1.4589, NLL: 1.4443, Masked: 1.6785
Epoch [37/141], Total Loss: 1.4565, NLL: 1.4420, Masked: 1.6701
Epoch [38/141], Total Loss: 1.4538, NLL: 1.4394, Masked: 1.6618
Epoch [39/141], Total Loss: 1.4501, NLL: 1.4357, Masked: 1.6505
Epoch [40/141], Total Loss: 1.4479, NLL: 1.4336, Masked: 1.6439
Epoch [41/141], Total Loss: 1.4446, NLL: 1.4304, Masked: 1.6334
Epoch [42/141], Total Loss: 1.4415, NLL: 1.4273, Masked: 1.6256
Epoch [43/141], Total Loss: 1.4388, NLL: 1.4248, Masked: 1.6157
Epoch [44/141], Total Loss: 1.4364, NLL: 1.4224, Masked: 1.6108
Epoch [45/141], Total Loss: 1.4335, NLL: 1.4195, Masked: 1.6010
Epoch [46/141], Total Loss: 1.4305, NLL: 1.4167, Masked: 1.5927
Epoch [47/141], Total Loss: 1.4284, NLL: 1.4146, Masked: 1.5872
Epoch [48/141], Total Loss: 1.4248, NLL: 1.4111, Masked: 1.5759
Epoch [49/141], Total Loss: 1.4222, NLL: 1.4085, Masked: 1.5692
Epoch [50/141], Total Loss: 1.4206, NLL: 1.4069, Masked: 1.5656
Epoch [51/141], Total Loss: 1.4177, NLL: 1.4042, Masked: 1.5558
Epoch [52/141], Total Loss: 1.4156, NLL: 1.4021, Masked: 1.5503
Epoch [53/141], Total Loss: 1.4118, NLL: 1.3984, Masked: 1.5426
Epoch [54/141], Total Loss: 1.4096, NLL: 1.3963, Masked: 1.5357
Epoch [55/141], Total Loss: 1.4074, NLL: 1.3941, Masked: 1.5308
Epoch [56/141], Total Loss: 1.4050, NLL: 1.3917, Masked: 1.5239
Epoch [57/141], Total Loss: 1.4022, NLL: 1.3890, Masked: 1.5160
Epoch [58/141], Total Loss: 1.4001, NLL: 1.3869, Masked: 1.5114
Epoch [59/141], Total Loss: 1.3967, NLL: 1.3837, Masked: 1.5036
Epoch [60/141], Total Loss: 1.3952, NLL: 1.3821, Masked: 1.5000
Epoch [61/141], Total Loss: 1.3919, NLL: 1.3789, Masked: 1.4911
Epoch [62/141], Total Loss: 1.3895, NLL: 1.3766, Masked: 1.4852
Epoch [63/141], Total Loss: 1.3870, NLL: 1.3741, Masked: 1.4807
Epoch [64/141], Total Loss: 1.3854, NLL: 1.3725, Masked: 1.4762
Epoch [65/141], Total Loss: 1.3825, NLL: 1.3697, Masked: 1.4687
Epoch [66/141], Total Loss: 1.3810, NLL: 1.3682, Masked: 1.4645
Epoch [67/141], Total Loss: 1.3786, NLL: 1.3659, Masked: 1.4589
Epoch [68/141], Total Loss: 1.3759, NLL: 1.3633, Masked: 1.4514
Epoch [69/141], Total Loss: 1.3742, NLL: 1.3616, Masked: 1.4484
Epoch [70/141], Total Loss: 1.3725, NLL: 1.3600, Masked: 1.4438
Epoch [71/141], Total Loss: 1.3701, NLL: 1.3576, Masked: 1.4399
Epoch [72/141], Total Loss: 1.3683, NLL: 1.3559, Masked: 1.4340
Epoch [73/141], Total Loss: 1.3658, NLL: 1.3534, Masked: 1.4276
Epoch [74/141], Total Loss: 1.3640, NLL: 1.3516, Masked: 1.4228
Epoch [75/141], Total Loss: 1.3623, NLL: 1.3500, Masked: 1.4179
Epoch [76/141], Total Loss: 1.3601, NLL: 1.3478, Masked: 1.4149
Epoch [77/141], Total Loss: 1.3589, NLL: 1.3466, Masked: 1.4117
Epoch [78/141], Total Loss: 1.3580, NLL: 1.3457, Masked: 1.4093
Epoch [79/141], Total Loss: 1.3558, NLL: 1.3436, Masked: 1.4028
Epoch [80/141], Total Loss: 1.3541, NLL: 1.3419, Masked: 1.3986
Epoch [81/141], Total Loss: 1.3518, NLL: 1.3397, Masked: 1.3942
Epoch [82/141], Total Loss: 1.3505, NLL: 1.3384, Masked: 1.3912
Epoch [83/141], Total Loss: 1.3492, NLL: 1.3371, Masked: 1.3873
Epoch [84/141], Total Loss: 1.3469, NLL: 1.3349, Masked: 1.3837
Epoch [85/141], Total Loss: 1.3446, NLL: 1.3326, Masked: 1.3779
Epoch [86/141], Total Loss: 1.3434, NLL: 1.3315, Masked: 1.3747
Epoch [87/141], Total Loss: 1.3419, NLL: 1.3299, Masked: 1.3714
Epoch [88/141], Total Loss: 1.3409, NLL: 1.3290, Masked: 1.3680
Epoch [89/141], Total Loss: 1.3392, NLL: 1.3273, Masked: 1.3653
Epoch [90/141], Total Loss: 1.3374, NLL: 1.3255, Masked: 1.3617
Epoch [91/141], Total Loss: 1.3363, NLL: 1.3244, Masked: 1.3594
Epoch [92/141], Total Loss: 1.3344, NLL: 1.3226, Masked: 1.3558
Epoch [93/141], Total Loss: 1.3329, NLL: 1.3212, Masked: 1.3508
Epoch [94/141], Total Loss: 1.3316, NLL: 1.3198, Masked: 1.3488
Epoch [95/141], Total Loss: 1.3292, NLL: 1.3175, Masked: 1.3435
Epoch [96/141], Total Loss: 1.3276, NLL: 1.3160, Masked: 1.3425
Epoch [97/141], Total Loss: 1.3263, NLL: 1.3147, Masked: 1.3384
Epoch [98/141], Total Loss: 1.3244, NLL: 1.3128, Masked: 1.3345
Epoch [99/141], Total Loss: 1.3230, NLL: 1.3114, Masked: 1.3320
Epoch [100/141], Total Loss: 1.3217, NLL: 1.3101, Masked: 1.3295
Epoch [101/141], Total Loss: 1.3202, NLL: 1.3087, Masked: 1.3253
Epoch [102/141], Total Loss: 1.3190, NLL: 1.3075, Masked: 1.3246
Epoch [103/141], Total Loss: 1.3182, NLL: 1.3067, Masked: 1.3210
Epoch [104/141], Total Loss: 1.3167, NLL: 1.3052, Masked: 1.3179
Epoch [105/141], Total Loss: 1.3153, NLL: 1.3038, Masked: 1.3141
Epoch [106/141], Total Loss: 1.3140, NLL: 1.3026, Masked: 1.3130
Epoch [107/141], Total Loss: 1.3128, NLL: 1.3015, Masked: 1.3086
Epoch [108/141], Total Loss: 1.3114, NLL: 1.3000, Masked: 1.3065
Epoch [109/141], Total Loss: 1.3111, NLL: 1.2998, Masked: 1.3039
Epoch [110/141], Total Loss: 1.3086, NLL: 1.2973, Masked: 1.3003
Epoch [111/141], Total Loss: 1.3078, NLL: 1.2965, Masked: 1.2990
Epoch [112/141], Total Loss: 1.3073, NLL: 1.2960, Masked: 1.2970
Epoch [113/141], Total Loss: 1.3051, NLL: 1.2939, Masked: 1.2930
Epoch [114/141], Total Loss: 1.3043, NLL: 1.2931, Masked: 1.2908
