chrom,Bin_Center,mean_density,sd_density,n_datasets,se_density
ChrIV,-1100000.0,0.0,0.0,35,0.0
ChrIV,-1090000.0,0.0,0.0,35,0.0
ChrIV,-1080000.0,0.0,0.0,35,0.0
ChrIV,-1070000.0,0.0,0.0,35,0.0
ChrIV,-1060000.0,0.0,0.0,35,0.0
ChrIV,-1050000.0,0.0,0.0,35,0.0
ChrIV,-1040000.0,0.0,0.0,35,0.0
ChrIV,-1030000.0,0.0,0.0,35,0.0
ChrIV,-1020000.0,0.0,0.0,35,0.0
ChrIV,-1010000.0,0.0,0.0,35,0.0
ChrIV,-1000000.0,0.0,0.0,35,0.0
ChrIV,-990000.0,0.0,0.0,35,0.0
ChrIV,-980000.0,0.0,0.0,35,0.0
ChrIV,-970000.0,0.0,0.0,35,0.0
ChrIV,-960000.0,0.0,0.0,35,0.0
ChrIV,-950000.0,0.0,0.0,35,0.0
ChrIV,-940000.0,0.0,0.0,35,0.0
ChrIV,-930000.0,0.0,0.0,35,0.0
ChrIV,-920000.0,0.0,0.0,35,0.0
ChrIV,-910000.0,0.0,0.0,35,0.0
ChrIV,-900000.0,0.0,0.0,35,0.0
ChrIV,-890000.0,0.0,0.0,35,0.0
ChrIV,-880000.0,0.0,0.0,35,0.0
ChrIV,-870000.0,0.0,0.0,35,0.0
ChrIV,-860000.0,0.0,0.0,35,0.0
ChrIV,-850000.0,0.0,0.0,35,0.0
ChrIV,-840000.0,0.0,0.0,35,0.0
ChrIV,-830000.0,0.0,0.0,35,0.0
ChrIV,-820000.0,0.0,0.0,35,0.0
ChrIV,-810000.0,0.0,0.0,35,0.0
ChrIV,-800000.0,0.0,0.0,35,0.0
ChrIV,-790000.0,0.0,0.0,35,0.0
ChrIV,-780000.0,0.0,0.0,35,0.0
ChrIV,-770000.0,0.0,0.0,35,0.0
ChrIV,-760000.0,0.0,0.0,35,0.0
ChrIV,-750000.0,0.0,0.0,35,0.0
ChrIV,-740000.0,0.0,0.0,35,0.0
ChrIV,-730000.0,0.0,0.0,35,0.0
ChrIV,-720000.0,0.0,0.0,35,0.0
ChrIV,-710000.0,0.0,0.0,35,0.0
ChrIV,-700000.0,0.0,0.0,35,0.0
ChrIV,-690000.0,0.0,0.0,35,0.0
ChrIV,-680000.0,0.0,0.0,35,0.0
ChrIV,-670000.0,0.0,0.0,35,0.0
ChrIV,-660000.0,0.0,0.0,35,0.0
ChrIV,-650000.0,0.0,0.0,35,0.0
ChrIV,-640000.0,0.0,0.0,35,0.0
ChrIV,-630000.0,0.0,0.0,35,0.0
ChrIV,-620000.0,0.0,0.0,35,0.0
