chromosome,window_size,threshold,tolerance_type,tolerance_value,precision,recall,F1,num_detected,num_true,annotation_error,hausdorff_distance,rand_index,adjusted_rand_index,mae_localization
XV,50,0.0,full_window,50,0.2857142857142857,1.0,0.4444444444444445,28,5,23,305.0,0.9022763618190904,0.7846461277459972,16.0
XV,50,0.0,half_window,25,0.17857142857142858,1.0,0.30303030303030304,28,5,23,305.0,0.9022763618190904,0.7846461277459972,16.0
XV,50,0.0,quarter_window,12,0.07142857142857142,0.4,0.12121212121212122,28,5,23,305.0,0.9022763618190904,0.7846461277459972,16.0
XV,50,1.0,full_window,50,0.2608695652173913,1.0,0.41379310344827586,23,5,18,305.0,0.9007721139430285,0.7845178840633484,18.0
XV,50,1.0,half_window,25,0.17391304347826086,0.8,0.2857142857142857,23,5,18,305.0,0.9007721139430285,0.7845178840633484,18.0
XV,50,1.0,quarter_window,12,0.08695652173913043,0.4,0.14285714285714285,23,5,18,305.0,0.9007721139430285,0.7845178840633484,18.0
XV,50,10.0,full_window,50,0.375,0.6,0.4615384615384615,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,10.0,half_window,25,0.25,0.4,0.3076923076923077,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,10.0,quarter_window,12,0.25,0.4,0.3076923076923077,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,11.0,full_window,50,0.375,0.6,0.4615384615384615,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,11.0,half_window,25,0.25,0.4,0.3076923076923077,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,11.0,quarter_window,12,0.25,0.4,0.3076923076923077,8,5,3,680.0,0.5828310844577711,0.2560172455507938,16.666666666666668
XV,50,12.0,full_window,50,0.5,0.6,0.5454545454545454,6,5,1,755.0,0.5269465267366317,0.17787007621551523,16.666666666666668
XV,50,12.0,half_window,25,0.3333333333333333,0.4,0.3636363636363636,6,5,1,755.0,0.5269465267366317,0.17787007621551523,16.666666666666668
XV,50,12.0,quarter_window,12,0.3333333333333333,0.4,0.3636363636363636,6,5,1,755.0,0.5269465267366317,0.17787007621551523,16.666666666666668
XV,50,13.0,full_window,50,0.4,0.4,0.4000000000000001,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,13.0,half_window,25,0.2,0.2,0.20000000000000004,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,13.0,quarter_window,12,0.2,0.2,0.20000000000000004,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,14.0,full_window,50,0.4,0.4,0.4000000000000001,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,14.0,half_window,25,0.2,0.2,0.20000000000000004,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,14.0,quarter_window,12,0.2,0.2,0.20000000000000004,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,15.0,full_window,50,0.4,0.4,0.4000000000000001,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
XV,50,15.0,half_window,25,0.2,0.2,0.20000000000000004,5,5,0,755.0,0.5269465267366317,0.17787007621551523,20.0
