chrom,distance,mean_density,sd_density,n_datasets,se_density
ChrXV,0,0.04652984490051695,0.015037069698694836,35,0.0025417286869002386
ChrXV,1,0.0452116111993912,0.01490746107031888,35,0.002519820830155945
ChrXV,2,0.04549361025939432,0.014833680078426054,35,0.002507349566312683
ChrXV,3,0.04535261072939276,0.014848350382665007,35,0.0025098293003218254
ChrXV,4,0.046930462612743626,0.015171974692601344,35,0.0025645317928170808
ChrXV,5,0.04524518251605823,0.014661217675246026,35,0.002478198099547022
ChrXV,6,0.04597927530717751,0.01508873873455478,35,0.0025504623479991892
ChrXV,7,0.04543318188939365,0.014929895304040802,35,0.0025236129077722768
ChrXV,8,0.04681184396052009,0.015116542369197628,35,0.002555162020022253
ChrXV,9,0.04586065665495395,0.015575394305504559,35,0.002632722153274297
ChrXV,10,0.045952418253843864,0.014778170378807352,35,0.0024979667145503936
ChrXV,11,0.04671336809829677,0.015379800610836752,35,0.0025996607846249836
ChrXV,12,0.04647836888162749,0.014851260553169128,35,0.002510321208918534
ChrXV,13,0.045724133300508,0.015402391839210336,35,0.0026034793991808794
ChrXV,14,0.04697298628052188,0.015542273467703208,35,0.0026271237098767003
ChrXV,15,0.04695284349052165,0.015845439674064443,35,0.0026783681517159206
ChrXV,16,0.04816812515386848,0.015878914365640234,35,0.0026840264073181215
ChrXV,17,0.046402273897182204,0.01566419613578096,35,0.0026477324022114532
ChrXV,18,0.047270651954969635,0.015738221664663554,35,0.0026602450003501837
ChrXV,19,0.04786374521608733,0.01598195107742853,35,0.0027014427903903444
ChrXV,20,0.047686936281640925,0.015050830552753108,35,0.002544054695771448
ChrXV,21,0.04783241198719809,0.01627124497300389,35,0.0027503423837328448
ChrXV,22,0.04825541057720279,0.016100890472813524,35,0.0027215472176032375
ChrXV,23,0.04832255321053687,0.016643398102102896,35,0.002813247743826556
ChrXV,24,0.04891117029609897,0.016415572161008685,35,0.002774738131135896
ChrXV,25,0.0472505091649694,0.016026339395074897,35,0.002708945785494158
ChrXV,26,0.05002797609722248,0.016750492779449223,35,0.002831350048270161
ChrXV,27,0.049311788008325634,0.016586019501377513,35,0.002803548990119871
ChrXV,28,0.049461739889438416,0.01691061108942917,35,0.00285841498245806
ChrXV,29,0.048955932051655014,0.016435506298432115,35,0.0027781076153474468
ChrXV,30,0.0509657348761218,0.017546547347487833,35,0.002965907829304942
ChrXV,31,0.05114701998612381,0.01745021613318669,35,0.002949624882178986
ChrXV,32,0.05059868848056216,0.017217171785987914,35,0.0029102331978638914
ChrXV,33,0.05154763769835049,0.017173111422021325,35,0.0029027856370496415
ChrXV,34,0.050694926255007676,0.017254861413719142,35,0.002916603907711128
ChrXV,35,0.05189677939168769,0.017384932597279773,35,0.002938589950551896
ChrXV,36,0.053888677513932046,0.018573150121655196,35,0.0031394353698056708
ChrXV,37,0.052431682370582516,0.018169090897891347,35,0.003071136895380407
ChrXV,38,0.05379020165170873,0.018255943902947703,35,0.0030858177327322744
ChrXV,39,0.05254582484725046,0.01802174260552292,35,0.0030462304881359757
ChrXV,40,0.05458248472505086,0.01839653101240435,35,0.003109581291475728
ChrXV,41,0.05455786575949504,0.01856469869715286,35,0.0031380068183303376
ChrXV,42,0.055475481748394125,0.019378222650568898,35,0.003275517464440963
ChrXV,43,0.05490700745283225,0.019110502297421273,35,0.003230264465332936
ChrXV,44,0.05599471811284435,0.019430340633929222,35,0.003284327011517933
ChrXV,45,0.0556209574539513,0.019328689122456503,35,0.003267144770033782
ChrXV,46,0.05709138112396764,0.019867830379064044,35,0.0033582762754180906
