Bin_Center,Mean_Nonzero,Std_Nonzero,Count_Nonzero
-450000.0,,,0
-440000.0,8.15857502317574,9.841862696790974,839
-430000.0,6.973629356367345,8.430198491880688,5557
-420000.0,6.168630107869706,8.243911118367402,4182
-410000.0,7.012887031830331,9.830009544100148,3201
-400000.0,8.23119655129521,10.67815838385826,3573
-390000.0,6.483396562905318,9.307375098304068,2570
-380000.0,7.382760236848943,10.128103411444426,2993
-370000.0,6.743460648148149,9.245259850415563,2760
-360000.0,6.836779634089236,9.353235492280435,3322
-350000.0,6.790224555487431,9.658095195152589,3262
-340000.0,6.895565682870371,9.580689655210042,2688
-330000.0,7.2178580990629175,9.875953389847124,2905
-320000.0,8.957123339555771,10.795739922590865,4107
-310000.0,7.327581038717601,9.535075295859517,3438
-300000.0,7.791725922071916,10.553654268015242,2883
-290000.0,7.330781634417182,9.889097980185399,3342
-280000.0,7.478442131596337,9.96334249646436,3531
-270000.0,7.209700821104123,9.708889830178,3180
-260000.0,6.552212455566114,9.54549857177208,3157
-250000.0,7.293877968877968,10.094530175176695,3256
-240000.0,7.559193445341598,9.999217426468565,4087
-230000.0,6.030945796460178,8.19172773705754,3616
-220000.0,5.766668529280286,8.505473686897503,2237
-210000.0,7.555494533052462,9.8455533814799,3323
-200000.0,7.21888674978609,9.904041075365164,2727
-190000.0,6.703247558722619,9.693620030550951,2105
-180000.0,6.139997997808127,8.870257345858533,2636
-170000.0,7.778812958744622,10.492935398615137,2195
-160000.0,6.756697163035191,9.266013971018804,2769
-150000.0,7.204534427433697,9.786016476123764,2874
-140000.0,7.578722607040143,10.11236549560448,2743
-130000.0,5.506451261966928,8.629632910037081,2298
-120000.0,6.954439232853868,10.178995682388864,2665
-110000.0,6.5877163742690055,8.706715826959114,2850
-100000.0,8.36138090776598,10.943284084667821,3202
-90000.0,6.656898431560838,9.498814742798134,2777
-80000.0,8.836634260382139,10.784316700325528,4123
-70000.0,6.384744759972955,9.142370715423894,1972
-60000.0,7.155865330071616,9.094089382939076,3134
-50000.0,6.204305080315559,9.063168035985436,2338
-40000.0,8.205015736565201,10.697398899045504,3548
-30000.0,8.918792171143902,11.16745597364102,3524
-20000.0,7.684135037778949,9.824483655585164,3794
-10000.0,7.37655398218322,10.553687790478671,2507
0.0,8.769902391310296,10.743236422921319,4061
10000.0,9.29079264144031,11.237963900390962,4246
20000.0,10.525174072433817,11.721730351260058,4516
30000.0,9.60037357850214,11.436567629161885,4387
40000.0,5.429558916124876,6.339233388469762,7588
50000.0,6.240965989607936,8.655326168958172,4234
60000.0,6.162552880428021,8.897972620178331,2679
70000.0,6.530932899947695,9.21448468126027,2974
80000.0,6.68506928346984,9.528635318478468,2157
90000.0,8.322051450773955,10.953010789927658,3546
100000.0,6.817781906906906,9.313177876765215,3700
110000.0,7.942275571197141,10.097810667574183,3978
120000.0,6.464287010159652,9.694092973092864,2756
130000.0,6.151705379421694,8.979710980868033,3028
140000.0,8.455872985198546,10.619892761076441,3881
150000.0,7.785774924328416,10.497498012500412,3524
160000.0,6.107364531013925,8.638756463268225,2721
170000.0,8.448405106970325,10.508995156661772,4025
180000.0,7.710273820829376,9.867861343842632,3510
190000.0,8.224190317598223,10.624986727857644,3453
200000.0,7.905074395349538,10.500950856898351,3689
210000.0,7.856321705426357,10.551498469871929,3225
220000.0,7.582892687110551,10.319109678601965,3174
230000.0,7.829472878390201,10.04098191142599,3556
240000.0,6.57429090007215,9.022813136779895,2464
250000.0,5.997634449518011,8.706072258090416,2409
260000.0,5.532012437810945,8.640129956150865,1675
270000.0,8.876981105470954,10.82015790431988,3940
280000.0,7.439238379125626,10.087135717948328,3215
290000.0,8.41097918324052,10.217044010493714,4190
300000.0,6.697562768678957,8.508345107811962,4213
310000.0,7.260326855623444,9.568761527984881,1964
320000.0,,,0
330000.0,,,0
340000.0,,,0
350000.0,,,0
360000.0,,,0
370000.0,,,0
380000.0,,,0
390000.0,,,0
400000.0,,,0
410000.0,,,0
420000.0,,,0
430000.0,,,0
440000.0,,,0
450000.0,,,0
